Time,Temp,Hum
00.00,19.9,40
00.15,19.9,40
00.30,19.9,40
00.45,19.9,40
01.00,19.8,40
01.15,19.8,40
01.30,19.8,40
01.45,19.8,40
02.00,19.7,41
02.15,19.7,41
02.30,19.8,41
02.45,19.9,41
03.00,20.0,41
03.15,20.1,41
03.30,20.2,41
03.45,20.4,41
04.00,20.5,41
04.15,20.6,41
04.30,20.6,41
04.45,20.6,41
05.00,20.6,41
05.15,20.6,41
05.30,20.6,41
05.45,20.6,41
06.00,20.6,41
06.15,20.8,41
06.30,20.9,41
06.45,20.9,41
07.00,21.1,41
07.15,21.2,41
07.30,21.3,41
07.45,21.4,41
08.00,22.5,42
08.15,22.6,42
08.30,22.5,42
08.45,22.4,42
09.00,21.9,49
09.15,21.8,49
09.30,21.7,49
09.45,21.6,49
10.00,21.5,49
10.15,21.5,49
10.30,21.4,49
10.45,21.3,49
11.00,21.1,54
11.15,21.1,54
11.30,21.1,54
11.45,21.1,54
12.00,21.0,44
12.15,21.0,44
12.30,21.1,44
12.45,21.2,44
13.00,21.3,45
13.15,21.3,45
13.30,21.3,45
13.45,21.5,45
14.00,21.6,40
14.15,21.7,40
14.30,21.8,40
14.45,21.8,40
15.00,21.8,41
15.15,21.8,41
15.30,21.8,41
15.45,21.8,41
16.00,21.7,40
16.15,21.6,40
16.30,21.6,40
16.45,21.7,40
17.00,21.7,44
17.15,21.8,44
17.30,21.8,44
17.45,21.9,44
18.00,22.0,44
18.15,22.0,44
18.30,22.0,44
18.45,21.9,44
19.00,21.8,40
19.15,21.7,40
19.30,21.6,40
19.45,21.5,40
20.00,21.4,43
20.15,21.3,43
20.30,21.2,43
20.45,21.1,43
21.00,20.9,43
21.15,20.7,43
21.30,20.5,43
21.45,20.3,43
22.00,20.2,43
22.15,20.2,43
22.30,20.2,43
22.45,20.1,43
23.00,20.1,43
23.15,20.1,43
23.30,20.1,43
23.45,20.0,43
